Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat P: ML Signal Combo,G6-MultiSignalConsensus,5.15%,0.41,0.57,-33.73%,0.15,15.05%,43.47%,187.81%,18.6
Cat DL: Deep Learning,DL1-TemporalCNNAlpha,5.92%,0.44,0.62,-37.66%,0.16,16.15%,39.53%,235.88%,12.3
Cat DL: Deep Learning,DL2-LSTMRegimeDetector,9.94%,0.62,0.88,-34.59%,0.29,17.89%,40.80%,635.11%,12.4
Cat DL: Deep Learning,DL3-AttentionRanker,0.98%,0.14,0.20,-44.21%,0.02,14.76%,37.28%,22.89%,12.7
Cat Q: Quality Trend,Q1-QualityTrend,14.32%,0.84,1.21,-36.75%,0.39,17.80%,42.82%,1576.52%,13.0
Cat Q: Quality Trend,Q2-MultiAssetTrend,12.32%,0.74,1.05,-35.52%,0.35,17.97%,43.23%,1055.16%,17.7
Cat Q: Quality Trend,Q3-MomentumCrashFilter,14.34%,0.83,1.19,-32.85%,0.44,18.14%,43.34%,1581.36%,13.7
Cat MF: Multi-Frequency,MF1-WeeklyMomentumRotation,12.47%,0.70,1.01,-27.48%,0.45,19.33%,41.51%,1087.81%,14.5
Cat MF: Multi-Frequency,MF2-MonthlyMacroRegime,22.20%,1.24,1.82,-26.43%,0.84,17.44%,43.84%,6722.74%,9.2
Cat MF: Multi-Frequency,MF3-MultiTimeframeTrend,10.80%,0.71,1.01,-31.17%,0.35,16.41%,43.54%,766.98%,13.7
Cat MF: Multi-Frequency,MF4-WeeklyMeanReversion,7.12%,0.52,0.74,-34.32%,0.21,15.37%,42.57%,325.81%,6.3
Cat R: Regime Hardening,R1-BearMarketAlpha,10.68%,0.70,0.98,-33.50%,0.32,16.55%,43.33%,747.63%,11.6
Cat R: Regime Hardening,R3-DefensiveRotation,14.52%,0.86,1.23,-31.56%,0.46,17.49%,42.40%,1638.33%,9.5
Cat R: Regime Hardening,R4-AdaptiveRiskBudget,18.56%,1.02,1.45,-30.44%,0.61,18.35%,43.06%,3507.61%,11.2
Cat R: Regime Hardening,R5-RatesTighteningAlpha,8.85%,0.62,0.88,-30.41%,0.29,15.71%,41.40%,496.50%,6.3
Cat R: Regime Hardening,R6-BondEquityHedge,17.38%,1.07,1.54,-26.79%,0.65,16.16%,43.76%,2821.09%,6.7
Cat R: Regime Hardening,R7-VolExplosionAlpha,14.34%,0.85,1.20,-32.73%,0.44,17.72%,43.02%,1581.85%,10.9
Cat R: Regime Hardening,R8-VolRegimeSwitcher,8.36%,0.60,0.84,-36.58%,0.23,15.48%,42.50%,442.30%,8.5
Cat R: Regime Hardening,R9-MultiAssetCTATrend,20.89%,1.13,1.66,-28.66%,0.73,18.19%,50.13%,5330.38%,10.9
Cat R: Regime Hardening,R10-CommodityMacroOverlay,7.50%,0.65,0.95,-36.11%,0.21,12.27%,41.38%,358.51%,3.3
Ensemble,Ensemble-BestOfEach,22.60%,1.27,1.84,-18.67%,1.21,17.20%,50.65%,7209.71%,16.9
