Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Cat P: ML Signal Combo,G6-MultiSignalConsensus,11.11%,0.66,0.93,-24.53%,0.45,18.71%,36.44%,58.03%,18.3
Cat DL: Deep Learning,DL1-TemporalCNNAlpha,16.04%,1.06,1.58,-24.10%,0.67,15.09%,40.34%,90.84%,6.9
Cat DL: Deep Learning,DL2-LSTMRegimeDetector,11.64%,0.80,1.15,-22.79%,0.51,15.28%,39.04%,61.36%,6.8
Cat DL: Deep Learning,DL3-AttentionRanker,5.33%,0.42,0.60,-15.15%,0.35,14.90%,36.78%,25.31%,7.1
Cat Q: Quality Trend,Q1-QualityTrend,16.74%,0.88,1.25,-24.06%,0.70,19.88%,38.35%,95.91%,11.7
Cat Q: Quality Trend,Q2-MultiAssetTrend,12.71%,0.73,1.05,-24.59%,0.52,18.69%,38.58%,68.21%,15.6
Cat Q: Quality Trend,Q3-MomentumCrashFilter,24.94%,1.21,1.78,-24.44%,1.02,20.00%,39.94%,163.18%,12.6
Cat MF: Multi-Frequency,MF1-WeeklyMomentumRotation,8.01%,0.57,0.84,-21.23%,0.38,15.53%,37.44%,39.75%,11.5
Cat MF: Multi-Frequency,MF2-MonthlyMacroRegime,12.67%,0.74,1.06,-24.21%,0.52,18.45%,37.10%,67.95%,8.0
Cat MF: Multi-Frequency,MF3-MultiTimeframeTrend,16.60%,0.87,1.26,-23.72%,0.70,19.80%,37.86%,94.88%,13.0
Cat MF: Multi-Frequency,MF4-WeeklyMeanReversion,20.34%,1.27,1.91,-23.32%,0.87,15.58%,41.05%,123.55%,5.6
Cat R: Regime Hardening,R1-BearMarketAlpha,24.52%,1.22,1.79,-21.63%,1.13,19.50%,38.81%,159.28%,11.9
Cat R: Regime Hardening,R3-DefensiveRotation,34.26%,1.62,2.49,-19.27%,1.78,19.39%,39.10%,259.74%,11.5
Cat R: Regime Hardening,R4-AdaptiveRiskBudget,27.49%,1.34,1.97,-21.32%,1.29,19.51%,38.80%,187.32%,12.3
Cat R: Regime Hardening,R5-RatesTighteningAlpha,16.79%,1.04,1.53,-18.71%,0.90,16.26%,38.67%,96.28%,6.0
Cat R: Regime Hardening,R6-BondEquityHedge,21.28%,1.17,1.73,-15.95%,1.33,17.87%,39.17%,131.22%,6.4
Cat R: Regime Hardening,R7-VolExplosionAlpha,29.21%,1.41,2.08,-21.41%,1.36,19.55%,39.85%,204.51%,11.7
Cat R: Regime Hardening,R8-VolRegimeSwitcher,18.92%,1.01,1.45,-22.86%,0.83,19.02%,38.84%,112.33%,9.4
Cat R: Regime Hardening,R9-MultiAssetCTATrend,25.06%,1.32,1.95,-15.29%,1.64,18.27%,50.85%,164.22%,11.7
Cat R: Regime Hardening,R10-CommodityMacroOverlay,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Ensemble,Ensemble-BestOfEach,16.66%,1.34,1.93,-14.79%,1.13,12.02%,50.00%,95.30%,12.6
