category,strategy,cagr,sharpe,sortino,max_drawdown,calmar,ann_vol,win_rate,total_return,trades_per_month,crisis_non_negative_count,crisis_avg_sharpe,priority
Cat DL: Deep Learning,DL1-TemporalCNNAlpha,0.0547,0.41,0.58,-0.402,0.14,0.1646,0.4011,2.0679,12.5,6,0.171667,watch_and_rework
Cat M: Macro,M8-CommodityMacroSignal,0.0426,0.42,0.59,-0.3401,0.13,0.1168,0.4632,1.4093,12.9,3,0.128333,watch_and_rework
Cat K: Factor,K5-RealAssetsFactor,0.05,0.44,0.62,-0.364,0.14,0.1308,0.4454,1.7941,8.8,2,-0.315,watch_and_rework
Cat B: Oil Crisis,B3-OilMeanReversion,0.049,0.45,0.66,-0.3107,0.16,0.1229,0.4162,1.7395,9.4,4,0.365,watch_and_rework
Cat I: Momentum,I2-CrossSectionalMomentum,0.0689,0.46,0.64,-0.3416,0.2,0.1811,0.4131,3.0655,15.7,2,-0.045,watch_and_rework
Cat C: War/Geopolitical,C3-PostWarRecovery,0.0672,0.47,0.67,-0.3852,0.17,0.1661,0.4074,2.9307,11.2,2,-0.125,watch_and_rework
Cat P: ML Signal Combo,P5-CrossSectionalRanker,0.0673,0.49,0.7,-0.3689,0.18,0.159,0.5178,2.9432,12.8,3,-0.073333,watch_and_rework
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,0.0544,0.5,0.71,-0.2446,0.22,0.1209,0.4308,2.0523,4.1,4,0.311667,watch_and_rework
Cat C: War/Geopolitical,C1-DefenseRotation,0.0669,0.51,0.74,-0.3778,0.18,0.1485,0.4216,2.9129,14.1,3,0.005,watch_and_rework
Cat P: ML Signal Combo,P2-XGBoostSignalCombo,0.0777,0.51,0.71,-0.3082,0.25,0.1773,0.4225,3.832,11.7,3,0.146667,watch_and_rework
Cat J: Mean Reversion,J2-OvernightGapFade,0.0626,0.52,0.78,-0.3479,0.18,0.135,0.3791,2.5916,5.1,5,0.168333,watch_and_rework
Cat L: Volatility,L9-VIXAdaptiveCarry,0.0587,0.52,0.75,-0.2956,0.2,0.1232,0.4543,2.3232,6.0,2,-0.178333,watch_and_rework
Cat MF: Multi-Frequency,MF4-WeeklyMeanReversion,0.0712,0.52,0.74,-0.3432,0.21,0.1537,0.4257,3.2581,6.3,4,0.45,watch_and_rework
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,0.0711,0.53,0.77,-0.2899,0.25,0.1513,0.4332,3.2455,12.2,4,-0.041667,watch_and_rework
Cat I: Momentum,I3-DualMomentum,0.0783,0.54,0.76,-0.322,0.24,0.1664,0.4246,3.888,14.1,4,0.3,watch_and_rework
Cat J: Mean Reversion,J6-DriftReversalAlpha,0.0259,0.54,0.83,-0.1006,0.26,0.0499,0.492,0.7137,0.6,5,0.12,watch_and_rework
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,0.0692,0.55,0.81,-0.3137,0.22,0.1392,0.4255,3.0917,11.5,5,0.65,watch_and_rework
Cat M: Macro,M5-RatesRegimeTrade,0.0734,0.55,0.77,-0.395,0.19,0.1479,0.4508,3.4437,11.6,3,-0.025,watch_and_rework
Cat K: Factor,K3-SizeFactor,0.0879,0.56,0.79,-0.365,0.24,0.178,0.4346,4.9006,13.3,4,0.033333,watch_and_rework
Cat M: Macro,M4-CommodityMomentum,0.0863,0.56,0.8,-0.3667,0.24,0.1772,0.4148,4.7112,12.2,4,0.418333,watch_and_rework
Cat J: Mean Reversion,J1-SectorMeanReversion,0.0805,0.57,0.81,-0.3386,0.24,0.1589,0.4297,4.1079,9.5,2,-0.028333,watch_and_rework
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,0.0703,0.58,0.84,-0.3141,0.22,0.1333,0.4317,3.182,10.8,3,0.113333,watch_and_rework
Cat M: Macro,M1b-DollarCarryScoreboard,0.0792,0.59,0.83,-0.2808,0.28,0.1494,0.414,3.9816,8.3,4,0.175,watch_and_rework
Cat F: Crypto Crisis,F4-CryptoContagionHedge,0.0599,0.6,0.86,-0.2149,0.28,0.1074,0.4234,2.4042,3.3,4,0.203333,optimize_winner
Cat I: Momentum,I4-MomentumVolScaled,0.0946,0.6,0.84,-0.2826,0.33,0.1779,0.4246,5.7099,15.3,3,0.188333,watch_and_rework
Cat R: Regime Hardening,R8-VolRegimeSwitcher,0.0836,0.6,0.84,-0.3658,0.23,0.1548,0.425,4.423,8.5,3,0.365,watch_and_rework
